('B60B', 'C11C', 'F16B', 'H3L') 0.0
('B44F', 'F23Q', 'F16P', 'F4F') 0.0
('A42B', 'C5G', 'B41F', 'H1G') 0.0
('D1H', 'F2D', 'G1B', 'H3C') 0.0
('A23D', 'C7D', 'E5C', 'H3H') 0.0
('C13G', 'H1M', 'D4H', 'H1T') 0.0
('B65G', 'C5B', 'F15D', 'G1M') 0.0
('B60F', 'C8C', 'G11B', 'H3G') 0.0
('C12S', 'C23C', 'F16M', 'H2M') 0.0
('B2B', 'F1N', 'B42C', 'G10H') 0.0
('A63B', 'G1J', 'B63G', 'E3D') 0.0
('A1N', 'C7F', 'G1T', 'G9D') 0.0
('C21C', 'E2C', 'C7C', 'E5F') 0.0
('C9K', 'D6Q', 'D21F', 'H3F') 0.0
('A47B', 'D1B', 'B43K', 'E1F') 0.0
('B31C', 'C11B', 'H3J', 'H4B') 0.0
('E6C', 'G5G', 'G12B', 'G6M') 0.0
('A23B', 'B26F', 'A63J', 'D5B') 0.0
('A61B', 'C1G', 'B44D', 'H2H') 0.0
('A24D', 'G21K', 'B28D', 'B65C') 0.0
('B21G', 'C25F', 'B44C', 'F28D') 0.0
('B23K', 'F23M', 'C8K', 'G1P') 0.0
('C10H', 'H3D', 'D1G', 'G7D') 0.0
('B25F', 'B31D', 'C21B', 'G7G') 0.0
('A43D', 'F16D', 'G4F', 'G6T') 0.0
('B8B', 'H2G', 'C12C', 'F2N') 0.0
('B61G', 'D2H', 'C10L', 'G6K') 0.0
('B1D', 'F21L', 'C12F', 'F23L') 0.0
('B23H', 'E1H', 'C8G', 'F4C') 0.0
('D4G', 'E3C', 'F28F', 'G9B') 0.0
('A63D', 'F24F', 'F23R', 'G10F') 0.0
('B5B', 'B60J', 'F16C', 'F3G') 0.0
('A41H', 'B62J', 'B21H', 'B24B') 0.0
('B24D', 'B60V', 'F22B', 'G21F') 0.0
('B65D', 'H2N', 'F1L', 'G21C') 0.0
('B41B', 'F4D', 'C13F', 'H5H') 0.0
('E21C', 'F16S', 'F21H', 'F28C') 0.0
('B61H', 'G1C', 'C8H', 'F23J') 0.0
('A23F', 'E2D', 'B41N', 'C22B') 0.0
('A1D', 'B61B', 'F22G', 'F42C') 0.0
('A1J', 'C6C', 'B62K', 'B66C') 0.0
('A1F', 'D6G', 'C3C', 'F16J') 0.0
('B23P', 'B62M', 'B4B', 'F25D') 0.0
('A61M', 'A62D', 'A63F', 'C12H') 0.0
('B66D', 'B82B', 'F16K', 'F21P') 0.0
('B41G', 'B5C', 'F25C', 'G6C') 0.0
('B22F', 'D2G', 'D21H', 'G1L') 0.0
('C12P', 'G9C', 'D1F', 'F41F') 0.0
('C22F', 'H2P', 'F1D', 'F23K') 0.0
('A21C', 'C13C', 'B1J', 'B43M') 0.0
('B23F', 'H1Q', 'B41K', 'G6E') 0.0
('A47L', 'B1F', 'G21D', 'H4L') 0.0
('A47K', 'G5F', 'B25D', 'B61L') 0.0
('B21D', 'E3B', 'G1F', 'G4G') 0.0
('B43L', 'G11C', 'B60D', 'G6F') 0.0
('A43C', 'B63B', 'B28C', 'F23N') 0.0
('A45F', 'F1C', 'B21K', 'G7B') 0.0
('A45C', 'B9C', 'F24J', 'G1K') 0.0
('A23C', 'B60M', 'F21S', 'F24H') 0.0
('C10C', 'D1D', 'G4D', 'H4M') 0.0
('B21J', 'B23G', 'B68F', 'G10D') 0.0
('A23L', 'F21K', 'B42D', 'G10K') 0.0
('B3D', 'B41M', 'C8B', 'G7C') 0.0
('B60T', 'E5B', 'D6P', 'G1S') 0.0
('A41G', 'F41H', 'B65H', 'C9G') 0.0
('A45B', 'B1L', 'C25D', 'H4N') 0.0
('F2K', 'F42B', 'H3K', 'H5F') 0.0
('A43B', 'G8G', 'B60L', 'C1B') 0.0
('B5D', 'B61F', 'F27B', 'G9G') 0.0
('D21G', 'F41J', 'E1B', 'H1R') 0.0
('A61C', 'B64F', 'B29B', 'B60R') 0.0
('A41D', 'F2G', 'B4C', 'H4Q') 0.0
('A47J', 'F2C', 'C23F', 'D4B') 0.0
('A63H', 'B21F', 'B32B', 'G21H') 0.0
('A63K', 'H1H', 'B60G', 'C10G') 0.0
('B3B', 'C12M', 'B81B', 'C10B') 0.0
('F1M', 'G1N', 'G21B', 'H4K') 0.0
('B22C', 'H1P', 'B2C', 'F27D') 0.0
('A47H', 'B60P', 'B23Q', 'H3B') 0.0
('A1G', 'F21V', 'E2F', 'G2C') 0.0
('A62C', 'F23H', 'B27L', 'H2J') 0.0
('B30B', 'C9J', 'F28B', 'H5K') 0.0
('A41C', 'B62L', 'C8F', 'D6J') 0.0
('B41L', 'G1D', 'B9B', 'F23C') 0.0
('B6B', 'H5C', 'C14C', 'C9D') 0.0
('A46D', 'F25B', 'B60H', 'E21B') 0.0
('B21B', 'F23B', 'E5G', 'G1W') 0.0
('A22C', 'G10L', 'B67B', 'F41C') 0.0
('A1C', 'A44C', 'D3D', 'F24C') 0.0
('A41B', 'B7B', 'B61D', 'G6G') 0.0
('A23P', 'D21D', 'B62H', 'F42D') 0.0
('B27B', 'B61K', 'C7H', 'C8L') 0.0
('B7C', 'F2M', 'C1D', 'E4B') 0.0
('A45D', 'B27N', 'E4F', 'F2P') 0.0
('B44B', 'B62B', 'C13D', 'G5D') 0.0
('A24B', 'F23D', 'C25B', 'F3D') 0.0
('B29D', 'F16N', 'B41C', 'E4H') 0.0
('A44B', 'C12G', 'E21D', 'G9F') 0.0
('B65B', 'G4C', 'F2B', 'F3C') 0.0
('B31F', 'H1K', 'F16H', 'G1H') 0.0
('D6H', 'H4H', 'F3B', 'G8B') 0.0
('B22D', 'H3M', 'F17D', 'G2B') 0.0
('A61L', 'D3J', 'C12Q', 'F17B') 0.0
('A46B', 'B60C', 'C7G', 'G3G') 0.0
('A24F', 'F41B', 'B27C', 'D6B') 0.0
('B21C', 'F16T', 'C10M', 'C7J') 0.0
('A1B', 'H1L', 'F24B', 'H1F') 0.0
('A22B', 'H5G', 'B25H', 'B60K') 0.0
('B27M', 'B42B', 'B60N', 'C5C') 0.0
('A1H', 'D21C', 'A61H', 'B26D') 0.0
('B26B', 'B63J', 'D4C', 'F26B') 0.0
('A1M', 'A63G', 'D6L', 'G10G') 0.0
('A62B', 'B42F', 'C2F', 'F25J') 0.0
('A42C', 'E3F', 'B67C', 'H2B') 0.0
('A21B', 'E4D', 'A61D', 'D7B') 0.0
('B64B', 'G3D', 'B68C', 'C8J') 0.0
('A1K', 'C9H', 'C21D', 'F3H') 0.0
('B29C', 'E5D', 'B61C', 'G6N') 0.0
('B25G', 'G21G', 'B63C', 'G3B') 0.0
('A61F', 'F1P', 'D5C', 'H5B') 0.0
('B41J', 'C6F', 'E6B', 'F1B') 0.0
('B81C', 'H1C', 'C30B', 'D2J') 0.0
('A23J', 'C3B', 'C11D', 'G6D') 0.0
('A47G', 'B27J', 'B61J', 'G4B') 0.0
('A1L', 'F1K', 'B25J', 'B64G') 0.0
('C6D', 'E1C', 'F2F', 'G3C') 0.0
('F4B', 'H1B', 'G10C', 'G1R') 0.0
('A61G', 'C1C', 'B27F', 'G5B') 0.0
('A61N', 'B66F', 'B66B', 'D6C') 0.0
('B31B', 'E4G', 'C1F', 'E1D') 0.0
('C7B', 'G6J', 'F21M', 'G7F') 0.0
('B1B', 'B41D', 'D21J', 'H4S') 0.0
('B27G', 'B27K', 'G1G', 'H4R') 0.0
('A47C', 'F41G', 'D4D', 'G8C') 0.0
('B67D', 'C25C', 'F16F', 'G3F') 0.0
('D6N', 'H2K', 'F16G', 'F22D') 0.0
('C14B', 'F16L', 'C6B', 'F28G') 0.0
('A23N', 'E21F', 'D21B', 'D6M') 0.0
('A23G', 'B62D', 'A47F', 'C10K') 0.0
('B23D', 'B24C', 'C9F', 'F23G') 0.0
('B27H', 'H1S', 'C12N', 'E4C') 0.0
('B28B', 'F17C', 'F24D', 'H1J') 0.0
('A47D', 'B25B', 'B65F', 'C13K') 0.0
('B60Q', 'G1V', 'B64C', 'D6F') 0.0
('A63C', 'B23B', 'B21L', 'C7K') 0.0
('B23C', 'G10B', 'B29K', 'C5D') 0.0
('B60S', 'C22C', 'E2B', 'G2F') 0.0
('A24C', 'F41A', 'C23G', 'F15C') 0.0
('C10J', 'C12J', 'C23D', 'F21Q') 0.0
('A61K', 'B25C', 'B64D', 'C4B') 0.0
('A23K', 'D1C', 'B3C', 'D3C') 0.0
('A61P', 'C9C', 'B27D', 'G3H') 0.0
('A21D', 'B63H', 'A41F', 'F15B') 0.0
('A61J', 'H4J', 'C5F', 'C9B') 0.0
