('B42C', 'G10H', 'F2F', 'G3C') 0.0
('A1H', 'F15C', 'B29C', 'E5D') 0.0
('E5G', 'H1L', 'F4B', 'H1B') 0.0
('C12N', 'E4C', 'G11B', 'H3G') 0.0
('B5D', 'B61F', 'F27B', 'G9G') 0.0
('B1L', 'H1T', 'C12P', 'G9C') 0.0
('B1B', 'C8B', 'G21D', 'H4L') 0.0
('B3D', 'C1F', 'F2B', 'H4M') 0.0
('A21C', 'C13C', 'A47C', 'H1J') 0.0
('B1D', 'F21L', 'B41C', 'E4H') 0.0
('A61L', 'D3J', 'D1D', 'H5K') 0.0
('A41C', 'B28D', 'F16F', 'G3F') 0.0
('A47J', 'C8G', 'B44F', 'B60T') 0.0
('A23D', 'C7D', 'G10C', 'G1R') 0.0
('A61B', 'C1G', 'B21L', 'E3F') 0.0
('B23Q', 'H3B', 'B68C', 'C8J') 0.0
('C12Q', 'F17B', 'C25D', 'H4N') 0.0
('B44D', 'F16C', 'C7H', 'C8L') 0.0
('A61G', 'C9K', 'C12S', 'C23C') 0.0
('B41D', 'G1M', 'C10L', 'G6K') 0.0
('B41G', 'F28G', 'D21H', 'G1L') 0.0
('A23L', 'F21K', 'C21B', 'G7G') 0.0
('C11D', 'G6D', 'F3B', 'H2G') 0.0
('B65G', 'C5B', 'F1M', 'G1N') 0.0
('A42B', 'C8K', 'B22D', 'H3M') 0.0
('C23D', 'H4S', 'E21D', 'G9F') 0.0
('B41M', 'F4C', 'D21D', 'H4B') 0.0
('B65D', 'C8H', 'B66F', 'H1G') 0.0
('A1D', 'C8F', 'E6C', 'H4J') 0.0
('A1N', 'B41B', 'D6P', 'G1S') 0.0
('C10M', 'H2P', 'C13G', 'G12B') 0.0
('A61P', 'C9C', 'C13D', 'G5D') 0.0
('B60D', 'G6F', 'B7C', 'F2M') 0.0
('B23B', 'F16H', 'C7B', 'G6J') 0.0
('B32B', 'G21H', 'B60C', 'D21C') 0.0
('A62B', 'C9B', 'E2C', 'G5F') 0.0
('A63F', 'C12H', 'B60S', 'C22C') 0.0
('C12G', 'H3K', 'D1F', 'F41F') 0.0
('A41G', 'B29K', 'F1N', 'G21F') 0.0
('B24B', 'G6E', 'C7C', 'E5F') 0.0
('A1K', 'B41K', 'B27H', 'B60L') 0.0
('A23F', 'E2D', 'B27F', 'G5B') 0.0
('C7G', 'G3G', 'D6J', 'F1D') 0.0
('B41N', 'F22G', 'D1H', 'F2D') 0.0
('B25B', 'C30B', 'C14C', 'C9D') 0.0
('A23G', 'B62D', 'A61K', 'B25C') 0.0
('D4B', 'F23R', 'E4F', 'H3L') 0.0
('A47K', 'H1P', 'B65H', 'C9G') 0.0
('B30B', 'C9J', 'G21G', 'H3H') 0.0
('A23J', 'H1M', 'B25J', 'B42B') 0.0
('B60G', 'C10G', 'B63C', 'G3B') 0.0
('B5C', 'G6N', 'B60B', 'C7F') 0.0
('A23P', 'G2F', 'A63D', 'F24F') 0.0
('B61L', 'C7K', 'B68F', 'F16J') 0.0
('B21D', 'E3B', 'C5C', 'G21C') 0.0
('D21B', 'D6M', 'G1T', 'G8B') 0.0
('B27K', 'B9B', 'G1B', 'H3C') 0.0
('A43B', 'G8G', 'B21C', 'F16T') 0.0
('E1F', 'H1F', 'G10F', 'H3F') 0.0
('B1J', 'B43M', 'C5F', 'F16D') 0.0
('A46D', 'F25B', 'B23H', 'B41J') 1.25006250313e-05
('A1F', 'G11C', 'F22D', 'G2C') 1.25006250313e-05
('A23K', 'D1C', 'C22F', 'E2F') 1.25006250313e-05
('B81C', 'C2F', 'F23J', 'G1J') 1.25006250313e-05
('A45D', 'F41C', 'F21M', 'G7F') 1.25006250313e-05
('C10K', 'G7D', 'D6N', 'H2K') 1.25006250313e-05
('A61M', 'A62D', 'E6B', 'F1B') 1.25006250313e-05
('A21D', 'B63H', 'A63K', 'H1H') 1.25006250313e-05
('A43C', 'B1F', 'F17D', 'G2B') 1.25006250313e-05
('B23F', 'H1Q', 'C1B', 'C21C') 1.25006250313e-05
('B61B', 'C21D', 'D6Q', 'G10K') 1.25006250313e-05
('A41F', 'B42D', 'B23C', 'B24C') 1.25006250313e-05
('B21B', 'F23B', 'B65C', 'E4D') 1.25006250313e-05
('B31B', 'E4G', 'G1W', 'G9B') 1.25006250313e-05
('B2C', 'C9F', 'F16M', 'H2M') 2.50012500625e-05
('A23N', 'B60K', 'C10H', 'H3D') 2.50012500625e-05
('A44C', 'C4B', 'B60F', 'B60N') 2.50012500625e-05
('B22F', 'F3H', 'D5C', 'H5B') 2.50012500625e-05
('B26B', 'C3C', 'F28B', 'G1V') 2.500250025e-05
('A1G', 'C12C', 'B60R', 'B64D') 2.500250025e-05
('A1M', 'B60V', 'B21K', 'H4R') 2.62218105417e-05
