B29K B41G B68C C10H 
A24B C10C A24C A24D 
C1C C5C C5B C5D 
F17B F41C F41A F41F 
B25C B27F B27C B27G 
C12P C7K C12Q G1N 
B1B C6F C13G G6D 
A23F C12G C12C C12H 
B61C B61F B61H B61K 
B27H B27J B68F C14B 
B3B B3D D21B D21D 
C6C F21K F42C F42D 
B63G F41H F41G F42B 
F1D F2C F1K F22B 
B64B F3H B64C B64D 
G1W G4G G4B G4C 
A63D G6C F41B F41J 
A23D C11C C11B C1B 
C13C C13D C13F C13K 
B25D E21C B25F B25G 
A41F D6Q D4C D4D 
A21D A23G A23C A23K 
A43D G10F G10B G10C 
F22D F22G F23B F24B 
B27D B27M B27N D21J 
A42C D4G D1B D1C 
A23J C12S D21C D6L 
C14C C9F C8H C9H 
B21C B61J B60D B61G 
F25C G21B G21G G21H 
F24J F3G F3B F3D 
D1G D6H D6B D6C 
C22F F23D F23C F23L 
H3B H3J H3H H3L 
B21H B23G B21J B21K 
G1C G8G G7G G9B 
F1M F2F F1P F4D 
B41D D6G E2C F21H 
B4B D3C D2H D3J 
B26F B31B B31D B31F 
B44D B82B B81B B81C 
B60K B62D F2P G5B 
A47G A63H G6J G6N 
B64G G21F F23R F2K 
A1L B21L A22B H5C 
B41K B65C B41L H5B 
A45B F21Q B60Q F21M 
B62J B62K B62M H3K 
B42B B42C B42F B43L 
B61B B61D B6B E1B 
A62B E6C F21L F21P 
A41G A45C A45F A47D 
B21F D7B B21G G4D 
D1D D2J D3D D4H 
F17D F23K F23G F23N 
G1T G3H G21K H5H 
C21C F16J F27B F27D 
A24F A42B A46B A46D 
E1C G1L F24H G1M 
B22F E4F B30B B65F 
B29D E2B B63B B63H 
F15B F3C F1B F1C 
A1J A23P A23N F25J 
B60P B64F B67D F16N 
B1L B24C B67B B67C 
C1D F28C C6B C6D 
B31C D6J B41B B43M 
C12F C12J C8C C9G 
A22C B26D B7C G1G 
A41H B60M A63G A63J 
A63C E1H B63C G6M 
A21B A21C D1H D21G 
B25H B44B F16M G12B 
B63J F23M C10J C10K 
B2C F16B B3C C10B 
B22C B24D B23H C25F 
E5B G7F E5C E5D 
A44C A45D H1T H5F 
A62D B9C B2B B7B 
A61K A61P C1G C30B 
G1H H4K H3G H4S 
A63K H1H B61L G9D 
B60J E5F E4D E6B 
G10H G10K G10L G6K 
A61J C10L C10G G3C 
B62H B62L F2N G5G 
B4C F28B B66B F16T 
A41B A41C B68G D4B 
A1C A1M A47L B5B 
B66D F17C F16P F16S 
B28D E21B E3B E3C 
B66F G5F G1R H3F 
C8L F24D D21F F26B 
B41C B44F B41F G3D 
B27K B27L C5F C5G 
G1D G1V H2K H2P 
G1K G8C H3C H3D 
G10D G10G G4F G6E 
B25B B26B G21C G21D 
A1D A1F B23D B27B 
A47F C9C C1F C23G 
B22D F16C B60B B62B 
C23D F28G F23J G1J 
A1N F23H C25B C25C 
A61D H1K C2F F23Q 
B44C E1F B65B G2C 
B25J G5D E2F H2G 
E1D F16L F16G H2B 
B21D D6F B23P B23Q 
C22B C3B C3C D6P 
B60G C9J G1F G1P 
A63F F2D F2B F4F 
A1G A1H E2D E4G 
B29C G1B H1B H1J 
A1K A61M A61G B43K 
C7B H2M C7J C8B 
B28C D6N C21B H3M 
E21F H5G F15C F15D 
B23B F24C G7B G7C 
B5C H4M F2G H2N 
A47C B60N B23K H1R 
F1N F24F F25B F25D 
A47K E3D E4B E4H 
B1F B60H D21H H1L 
B60L H4R F16K F1L 
A61F A63B A61H A61N 
G8B G9C G9G H4B 
A62C E21D F16F G3F 
A43B A43C D5B D5C 
A41D A44B B28B E4C 
B21B C21D C23F C25D 
B41N G6G H1G H2H 
A47B B8B F21S F21V 
B23C C8J B23F B24B 
A47J B65H B5D C7D 
A61B B65G C9B H4J 
C10M G1S H1P H1Q 
C22C C4B C7C H4L 
A47H E5G A61L B42D 
B66C H1C D2G F16D 
A1B E3F B60R G6F 
B29B D6M B60S G7D 
B1D C11D B41J B60T 
F2M G11C H1M H2J 
B32B G6T G2B G3B 
A23L G11B B60F B60V 
C12N G9F F4B F4C 
B65D D1F C9K G2F 
A23B A61C H1F H1S 
B1J H5K F28D F28F 
B9B C12M C8G H4N 
C23C C8K C8F C9D 
B41M H4H C7G G3G 
C7F C7H F16H H4Q 
