('B1', 'C21', 'B4', 'F28') 0.0
('B29', 'F41', 'E2', 'E21') 0.0
('B43', 'C9', 'B8', 'D1') 0.0
('A22', 'C22', 'B32', 'F23') 0.0
('B9', 'F25', 'C11', 'H3') 0.0
('A23', 'F17', 'B62', 'C3') 0.0
('B66', 'G21', 'C23', 'G2') 0.0
('A61', 'B44', 'B23', 'G9') 0.0
('A44', 'G7', 'B65', 'B81') 0.0
('A1', 'F16', 'B27', 'H5') 0.0
('A46', 'B30', 'C25', 'F3') 0.0
('A43', 'G4', 'E5', 'F24') 0.0
('A24', 'F27', 'A41', 'G11') 0.0
('A21', 'C10', 'D2', 'E1') 0.0
('B21', 'B60', 'C14', 'D3') 0.0
('B42', 'F1', 'D21', 'F22') 0.0
('A45', 'D6', 'B28', 'B68') 0.0
('B22', 'G8', 'F2', 'H1') 0.0
('B5', 'G3', 'C30', 'G12') 0.0
('B2', 'F15', 'C5', 'E6') 0.0
('B6', 'F26', 'B61', 'C6') 0.0
('A42', 'C4', 'F21', 'H2') 0.0
('A63', 'B82', 'G10', 'G5') 0.0
('B25', 'C12', 'B26', 'E3') 0.0
('B64', 'D4', 'G6', 'H4') 0.0
('A47', 'B24', 'B7', 'C2') 0.0
('B31', 'C13', 'B41', 'C8') 0.0
('B63', 'C7', 'C1', 'E4') 0.0
('A62', 'F4', 'B67', 'D7') 0.0
('B3', 'F42', 'D5', 'G1') 0.0
