C10G D7B C8L D1D 
B60D C3C C11D D1H 
C1G D21C D1F D6B 
B62D D6L C1F D3D 
C3B D6H D4G D6C 
A23L C11B C10B D4D 
C5C D21F D21G D6G 
C11C D3C D21B F3C 
B1F C23C C12M D21J 
B21K D3J C22B D6M 
B24C D6J C5B F27D 
A23K D4B B41D C7G 
A61L B5B C21D D6N 
A61K D6P B27N C7H 
B23C D21H C4B F16T 
C10C D6F E4D H3F 
B65G C22F C10M C25D 
B60B C7K C6B D4H 
B64D C7B C13G D1G 
C10K F41H C8K D5C 
B32B D21D C7F H2B 
B41K C12F C10J F22B 
B31D C12H C9C F23D 
B67D C12J D4C F15C 
B41G D1C C25B F28D 
A21C D6Q B62M C9F 
B23F C9J C25F F42B 
A42B C13F B26B C22C 
A41G C21B B8B C14C 
B62H C12C D5B E3C 
A24B B68B D1B F16P 
B61D C13J C8B F4B 
C23D E2C D2J G5B 
A22C D2G C21C G9F 
A23P E21C B7B C6D 
B63J C9G C8G F21P 
C8F H2H D2H F15D 
A47G C1B B9C C23G 
A41C C12L C1C G6C 
B21L C13C F41J H5B 
A61B C14B B44B H4Q 
A1M A63K B66D C2F 
B41M C9K C8H F16G 
A63H C5F B23G H2K 
A41D B81C C8J H4M 
A44B B60T C12S F28F 
A1G B60L C7C E21B 
C6F G1T F41B H1T 
A21D H1L B25C C10F 
B63B C13K C10L F25J 
B31C H5C C5D F41F 
B21C C8C F23N H1P 
A42C F25B C12P G3D 
B22D C30B E1F F17B 
B27L C10H E4B H3C 
B60F C23F F17D H1Q 
A43D E4H B68C C12N 
A1F F2M B60N C9D 
A24D B60K F24F H2J 
B5C C12Q G1J H1F 
A62B B2C C7J G21J 
B60P C25C F23K H1H 
B25D H3K C5G F16N 
A47H B64F C1D G10K 
A23J G3F B29K C9B 
A45F B21G E4F H4K 
C12G G1P F16K H5H 
A47B F16B G21B H1M 
A47J B61J G4D H1K 
A1N B60J G4G H3L 
A47L B23P F2K H1S 
A43C G6M E21D H4J 
A63C F2N B66F H3B 
A1L B25H E2D H1B 
A41H B22F E4C H5F 
B62K C7D E2B H3D 
B60M H1J C6C G1N 
B1J H2M F16M G21K 
B65H C13D E1H H5K 
B24D H4H F23H F25C 
C9H G10L F41A H5G 
A61N B30B E3F H2P 
A45B B60S F16H H3H 
A43B G12B B1D H4B 
A47D B28B F1M F4C 
F41C F4D G6F H1R 
A61M B21J G21G H2G 
A47C G1K B62J H2N 
A61F E21F B6B H4S 
A46D B68G G3B H1C 
A63F G21D B43L H3J 
A47F F2C B1L H3M 
A61H B60C E6B F1L 
B1B H1G F22G G11C 
A21B G4F B42D H4N 
A23F B62C B3D F2D 
B44D H4R E2F F23L 
A45C B27G B63C F23G 
A62C B44C F3G G1D 
A1D B64B F1K G9G 
A1J B68F A23D G1C 
A63G B27H F2F G21C 
A24F B27J F24C G1S 
A23C G6G A61C B23K 
B26F H3G B29C F23R 
A63B B43M A63J G10C 
A1K B7C A44C G7C 
A24C B65C F21M G3H 
A1H B31B F28C G6K 
A22B B3C A63D G6D 
A45D G5D B2B H4L 
A1C B25F A23N G21F 
A46B B23B F2G G10D 
A61P G8C A62D B61K 
A41F G7F B63G F2P 
A1B B23Q B66C F23M 
B4B F16D B62L F1P 
A61G G1G B28D F23Q 
A47K B41F F1N G9B 
B41J F41G F16L G2F 
A41B B24B E3D G3C 
A61J B28C B81B F1B 
B27D F24J F16J G4C 
A23B B27F B41N F3H 
A23G G1W B29B F16F 
A61D B61B B23D F1C 
B27B F2B F16S G7B 
B27C F25D B60Q F42C 
B29D F42D G1R G9D 
B21F F22D B67C F23C 
B22C F15B B26D F21S 
B64G F1D F4F G3G 
B25G F21L F21K G4B 
B42B F23J B62B F28B 
B21B F24H B65F F21H 
B27K F28G B65B F17C 
B66B F23B F21Q G5F 
B21D E4G B44F F3D 
B43K F26B G1F G1M 
B60G F16C E5C G6E 
B61F F24B B61G E5G 
B63H F3B G1H G2C 
B25B E1B B65D G1V 
B4C G10H B64C E1D 
B61C F27B E6C G1L 
B41L F24D B61L G7D 
B42F G2B B60R F21V 
B61H G10F B9B E5D 
B42C E5B G1B G9C 
B21H E1C B25J G11B 
B31F E3B B60V G6T 
B3B G21H B60H E5F 
B41C G10B B5D G6N 
B23H G5G B67B G8B 
B41B G8G B82B G7G 
