/home/ec2-user/data/classinfo/B/B21C.txt.fq.tfidfn 0





/home/ec2-user/data/classinfo/B/B21G.txt.fq.tfidfn 576
釘 0.111561366653 0.339386245722
縫合 0.186623218491 0.186623218491
針 0.500000219068 0.500000219068
スエージ 0.0302509191805 0.0302509191805
カテーテル 0.0511914402072 0.0855645776324
縫針 0.00828718288107 0.00970923236021
ダイス 0.0489745755422 0.101351009117
幹部 0.0561708396661 0.0561708396661
キャリヤーストリップ 0.00823982572829 0.00823982572829
折れ口 0.00780561923417 0.00780561923417
胸骨 0.0133760246356 0.0133760246356
アジャスターピン 0.00514986882183 0.00514986882183
めっき線 0.00946966188906 0.00946966188906
ミシン 0.0932661023385 0.168922924827
カニューレ 0.00496715900302 0.00795465218369
コイニングダイス 0.0048278603213 0.0048278603213
シヨットピーニング 0.00443512186419 0.00443512186419
釘本 0.00724103639079 0.00724103639079
スローアウェイダイス 0.00338006049109 0.00338006049109
オープンラジアスコイニングダイス 0.00378668414515 0.00378668414515
フランジピン 0.00492848969029 0.00492848969029
ダイプレス 0.00786463636035 0.00786463636035
縫糸 0.0105485518774 0.0144077949232
えぐり 0.018738540354 0.018738540354
研削 0.0463165133023 0.0958001281852
平丸 0.00631237159413 0.00631237159413
縫い 0.0344886102318 0.0778710832095
ファスナー 0.00668234477813 0.116253165251
外科 0.0150419691043 0.0431736846011
駒 0.0274075834801 0.0722792612169
オープンラジアスダイス 0.00245020738804 0.00245020738804
縫い糸 0.0079980149273 0.0079980149273
編み機 0.00132133623788 0.0123012086622
鍛造 0.0482516904738 0.205772734218
手術 0.00586667104062 0.0445868149587
待針 0.00295265171478 0.00295265171478
シャン 0.0376880675485 0.0376880675485
ダイスホルダ 0.00460362962589 0.00460362962589
めっき 0.0110668625116 0.166781514208
スローアウェイカッター 0.00200185323095 0.00200185323095
頭部 0.103946867438 0.132818059876
縫製 0.096654258905 0.123415790637
ギアー 0.0133768641662 0.0133768641662
プジョー 0.00596088121518 0.00596088121518
刃 0.0127310051478 0.226757901886
パンチ 0.015765793006 0.159334504627
コッタ 0.0073576879304 0.0073576879304
注射 0.0844791062252 0.117624914923
AISI 0.00379694176066 0.00379694176066
焼鈍し 0.00588826272662 0.00588826272662
編み針 0.00231382113215 0.00988795363761
テーパリーマ 0.00254733328309 0.00254733328309
双頭 0.00864809455517 0.00864809455517
プラスティックシート 0.00393199206179 0.00393199206179
加療 0.00355569108281 0.00355569108281
研磨 0.0105102794695 0.279748359505
カービングアンビルステーション 0.0015592228833 0.0015592228833
ダクティリティ 0.00201582256807 0.00201582256807
原材料 0.0502198139632 0.0502198139632
チャック 0.0278171621957 0.0815785243972
成体 0.0271469702816 0.0271469702816
細身 0.00823042963556 0.00823042963556
穴部 0.0349922973409 0.0349922973409
稜線 0.0271108562378 0.0271108562378
Ｈｖ 0.0103690261645 0.0103690261645
糸 0.0144219513483 0.389666106479
値札 0.00434850212295 0.00434850212295
ダイ 0.0725899242795 0.0725899242795
ニユージヤージイ 0.0040407712137 0.0040407712137
溝 0.00797807762084 0.15443928971
砲弾 0.0099833983246 0.0218008749795
プレス 0.0792035847113 0.182353137516
打擲 0.00248789043304 0.00395260766082
頭 0.123043453319 0.123043453319
砥石 2.55919394113e-05 0.0941005763881
造機 0.0075362911421 0.0075362911421
異形 0.0208952832127 0.0318761406551
探 0.0159017960246 0.0691469653964
丁 0.0306505561401 0.118120237237
リーマ 0.00447284349808 0.0291991746941
オルガン 0.0045550990875 0.0045550990875
アジャスターピ 0.000895430607521 0.000895430607521
スウェッジ 0.00134347984354 0.00134347984354
高根沢 0.00473834538533 0.00473834538533
穿刺 0.00653885194478 0.0572373965368
横目 0.0043137165998 0.0043137165998
スタブ 0.010377410416 0.010742209704
前山 0.00467528835761 0.00467528835761
チューブレディーシングミル 0.000893030257462 0.000893030257462
加工 0.0219513575716 0.179825933389
コイニングダイ 0.00133440907748 0.00133440907748
先鋭 0.0161889395771 0.0238327180517
切れ味 0.00615387253362 0.00615387253362
上棟 0.00155847726493 0.00155847726493
柄 0.0586577952755 0.55427098682
シリコナイジング 0.00157783424178 0.00157783424178
ジノビー 0.000892199969878 0.000892199969878
リヤーストリップ 0.0011135794663 0.0011135794663
ヘッダー 0.0126769069186 0.0129082916452
鋼 0.0216979579013 0.11965728583





/home/ec2-user/data/classinfo/B/B66F.txt.fq.tfidfn 231
ブーム 0.0437514605389 0.126065959606
フォークリフト 0.0539760292295 0.0539760292295
マスト 0.0465012721564 0.0465012721564
荷役 0.0388891648681 0.0457994267744
ジャッキ 0.0467334039509 0.0546921644435
車体 0.0206398193475 0.123532464606
フォーク 0.0822560950268 0.0945393732043
アウタマスト 0.0041857574958 0.0041857574958
操舵 0.0382403576243 0.151271872865
荷物 0.0324488807903 0.0544115090057
油圧 0.00584827130351 0.159274668388
昇降 0.0969122023245 0.120364064692
リフト 0.0727317868079 0.126340196433
ティルトシリンダ 0.003404372275 0.003404372275
高所 0.037285100987 0.0373747384995
荷台 0.0378563215402 0.141010900991
車速 0.0137230529173 0.0495103133333
リーチ 0.00916488420603 0.0204307948947
スタッカ 0.00921316536921 0.0105166568078
車両 0.00592094531009 0.17762073154
パレット 0.0582417754499 0.0808441762128
前輪 0.00749906580034 0.105441050873
バッテリ 0.0443028998092 0.0770292390846
ティルト 0.0039226967326 0.00421570888882
スタッカークレーン 0.00380640503633 0.00380640503633
ナマ 0.00545843941819 0.00545843941819
起伏 0.00773555086639 0.0314125328605
